,Cluster Word Count,Sample Words,All Words,All Synsets
0,22,"{'snitch', 'friend', 'life', 'woman', 'love', 'girl', 'cat'}","['snitch', 'kid', 'child', 'friend', 'life', 'love', 'girl', 'mother', 'woman', 'cat', 'horse', 'pet']","[Synset('love.n.05'), Synset('sawhorse.n.01'), Synset('supporter.n.01'), Synset('life_sentence.n.01'), Synset('life_sentence.n.01'), Synset('supporter.n.01'), Synset('sawhorse.n.01'), Synset('love.n.05'), Synset('mother.n.05'), Synset('girlfriend.n.02'), Synset('mother.n.05'), Synset('kat.n.01'), Synset('positron_emission_tomography.n.01'), Synset('love.n.05'), Synset('kid.n.02'), Synset('life_sentence.n.01'), Synset('fink.n.01'), Synset('womanhood.n.02'), Synset('supporter.n.01'), Synset('supporter.n.01'), Synset('child.n.04'), Synset('fink.n.01')]"
1,144,"{'concern', 'living', 'wave', 'nightlife', 'connection', 'spot', 'contact', 'stay', 'west'}","['bounce', 'demand', 'fringe', 'presentation', 'sale', 'regulation', 'role', 'transport', 'innovation', 'stay', 'rock', 'town', 'time', 'repair', 'alternative', 'support', 'light', 'representation', 'pace', 'content', 'stable', 'experiment', 'nightlife', 'choice', 'game', 'metastasis', 'populace', 'team', 'matter', 'total', 'recovery', 'peace', 'norm', 'assessment', 'gap', 'filing', 'catch', 'check', 'meeting', 'cutting', 'road', 'music', 'profit', 'process', 'step', 'border', 'audience', 'revolution', 'transition', 'tunnel', 'finding', 'bulk', 'transfer', 'experience', 'people', 'chain', 'flooding', 'lighting', 'war', 'host', 'flight', 'observation', 'division', 'grade', 'evidence', 'sacrifice', 'video', 'west', 'situation', 'interior', 'majority', 'separation', 'day', 'forum', 'access', 'connection', 'contact', 'spot', 'collection', 'band', 'furnace', 'pause', 'jam', 'record', 'condition', 'project', 'entry', 'arrival', 'nation', 'drive', 'conversation', 'country', 'wave', 'advance', 'commercial', 'assumption', 'constellation', 'living', 'concern', 'default', 'completion', 'house', 'grab', 'stand', 'reservation', 'tourism', 'drill', 'boat', 'ocean', 'charge', 'ride', 'position', 'crew', 'politics', 'start', 'tank']","[Synset('reservation.n.06'), Synset('sidereal_day.n.01'), Synset('ring.n.08'), Synset('project.n.02'), Synset('submission.n.01'), Synset('yard.n.01'), Synset('outskirt.n.01'), Synset('experience.n.03'), Synset('team.n.01'), Synset('nonpayment.n.02'), Synset('tourism.n.01'), Synset('record.n.07'), Synset('theatrical_performance.n.01'), Synset('matter.n.04'), Synset('gap.n.05'), Synset('gravy_boat.n.01'), Synset('repair.n.02'), Synset('state.n.04'), Synset('transfer.n.05'), Synset('commercial.n.01'), Synset('need.n.01'), Synset('time.n.06'), Synset('solicitation.n.02'), Synset('molding.n.03'), Synset('constellation.n.02'), Synset('state.n.04'), Synset('peace.n.05'), Synset('drill.n.01'), Synset('time.n.06'), Synset('recovery.n.03'), Synset('theater.n.01'), Synset('situation.n.03'), Synset('reservation.n.06'), Synset('check_mark.n.01'), Synset('evidence.n.03'), Synset('option.n.02'), Synset('tank_car.n.01'), Synset('populace.n.01'), Synset('nightlife.n.02'), Synset('support.n.06'), Synset('township.n.01'), Synset('experiment.n.03'), Synset('rotation.n.03'), Synset('completion.n.02'), Synset('transport.n.02'), Synset('team.n.01'), Synset('consultation.n.01'), Synset('conversation.n.01'), Synset('situation.n.03'), Synset('wave.n.09'), Synset('premise.n.01'), Synset('message.n.02'), Synset('road.n.02'), Synset('separation.n.06'), Synset('crew.n.04'), Synset('stand.n.12'), Synset('team.n.01'), Synset('lighting.n.02'), Synset('server.n.03'), Synset('west.n.08'), Synset('presentation.n.06'), Synset('plot.n.01'), Synset('video_recording.n.01'), Synset('tone.n.09'), Synset('status.n.01'), Synset('leap.n.01'), Synset('connection.n.07'), Synset('war.n.04'), Synset('film_editing.n.01'), Synset('tunnel.n.01'), Synset('norm.n.01'), Synset('flight.n.09'), Synset('fix.n.01'), Synset('range.n.04'), Synset('inside.n.02'), Synset('transition.n.05'), Synset('peace.n.05'), Synset('role.n.04'), Synset('pause.n.01'), Synset('summons.n.03'), Synset('support.n.07'), Synset('net_income.n.01'), Synset('consultation.n.01'), Synset('people.n.03'), Synset('observation.n.03'), Synset('driveway.n.01'), Synset('startle.n.01'), Synset('rock_'n'_roll.n.01'), Synset('sum.n.02'), Synset('net_income.n.01'), Synset('ocean.n.01'), Synset('condition.n.08'), Synset('ride.n.02'), Synset('startle.n.01'), Synset('filing.n.03'), Synset('invention.n.02'), Synset('politics.n.05'), Synset('arrival.n.02'), Synset('meeting.n.03'), Synset('grab.n.01'), Synset('catch.n.08'), Synset('stay.n.05'), Synset('metastasis.n.01'), Synset('furnace.n.01'), Synset('mark.n.01'), Synset('stable.n.01'), Synset('forum.n.02'), Synset('implosion_therapy.n.01'), Synset('option.n.02'), Synset('part.n.09'), Synset('people.n.03'), Synset('mission.n.03'), Synset('connection.n.07'), Synset('time.n.06'), Synset('majority.n.03'), Synset('rule.n.01'), Synset('flight.n.09'), Synset('sidereal_day.n.01'), Synset('ocean.n.01'), Synset('sacrifice.n.04'), Synset('support.n.06'), Synset('liaison.n.02'), Synset('reservation.n.06'), Synset('music.n.01'), Synset('access.n.04'), Synset('sparkle.n.01'), Synset('finding.n.02'), Synset('sidereal_day.n.01'), Synset('sum.n.02'), Synset('sidereal_day.n.01'), Synset('judgment.n.02'), Synset('bulk.n.03'), Synset('sale.n.05'), Synset('yard.n.01'), Synset('flight.n.09'), Synset('theatrical_performance.n.01'), Synset('liaison.n.02'), Synset('submission.n.01'), Synset('concern.n.04'), Synset('reservation.n.06'), Synset('connection.n.07'), Synset('touch.n.08'), Synset('progress.n.03'), Synset('flight.n.09')]"
2,24,"{'adjustment', 'alteration', 'modification', 'change', 'revision'}","['adjustment', 'alteration', 'modification', 'change', 'revision']","[Synset('variety.n.06'), Synset('variety.n.06'), Synset('variety.n.06'), Synset('alteration.n.02'), Synset('variety.n.06'), Synset('variety.n.06'), Synset('variety.n.06'), Synset('rewrite.n.01'), Synset('rewrite.n.01'), Synset('alteration.n.02'), Synset('variety.n.06'), Synset('alteration.n.02'), Synset('variety.n.06'), Synset('variety.n.06'), Synset('variety.n.06'), Synset('variety.n.06'), Synset('variety.n.06'), Synset('variety.n.06'), Synset('variety.n.06'), Synset('variety.n.06'), Synset('alteration.n.02'), Synset('variety.n.06'), Synset('modification.n.03'), Synset('variety.n.06')]"
3,114,"{'distinction', 'statue', 'word', 'cover', 'fool', 'breast', 'comparison', 'sculpture', 'item'}","['pattern', 'toy', 'substance', 'cover', 'image', 'scribble', 'password', 'figure', 'reference', 'impression', 'gift', 'exception', 'mention', 'film', 'chatter', 'breast', 'sculpture', 'sample', 'headline', 'brick', 'statue', 'word', 'guess', 'picture', 'leaf', 'fool', 'excuse', 'list', 'adaptation', 'writing', 'annotation', 'glance', 'money', 'sound', 'technique', 'jab', 'comparison', 'glowstick', 'bit', 'version', 'mischief', 'message', 'item', 'wai', 'note', 'grimace', 'convo', 'meaning', 'lot', 'repellent', 'bet', 'brack', 'wallpaper', 'pin', 'poster', 'language', 'distinction', 'grammar', 'buck', 'bird', 'horseshoe', 'type', 'mop', 'material', 'joke', 'scent', 'lyric', 'cloth', 'journal', 'mold', 'shadow', 'hair', 'shoe', 'box']","[Synset('mold.n.07'), Synset('jester.n.01'), Synset('lyric.n.02'), Synset('stamp.n.03'), Synset('leaf.n.03'), Synset('swab.n.02'), Synset('pivot.n.02'), Synset('mention.n.01'), Synset('substance.n.07'), Synset('excuse.n.02'), Synset('material.n.05'), Synset('lot.n.02'), Synset('money.n.03'), Synset('note.n.09'), Synset('chatter.n.02'), Synset('glance.n.01'), Synset('joke.n.04'), Synset('movie.n.01'), Synset('trope.n.01'), Synset('comparison.n.03'), Synset('tilt.n.04'), Synset('joke.n.04'), Synset('comparison.n.03'), None, Synset('terminology.n.01'), Synset('version.n.06'), Synset('stamp.n.03'), Synset('trope.n.01'), Synset('giving.n.01'), Synset('sculpture.n.01'), Synset('sample_distribution.n.01'), Synset('horseshoe.n.02'), None, Synset('adaptation.n.03'), Synset('word.n.07'), Synset('guess.n.01'), Synset('mischief.n.01'), Synset('strait.n.01'), Synset('writing.n.04'), Synset('message.n.02'), Synset('meaning.n.02'), Synset('corner.n.08'), Synset('money.n.03'), Synset('adaptation.n.03'), None, Synset('word.n.07'), Synset('movie.n.01'), Synset('tilt.n.04'), Synset('adaptation.n.03'), Synset('token.n.01'), Synset('scent.n.02'), Synset('stamp.n.03'), Synset('type.n.06'), Synset('fabric.n.01'), Synset('shuttlecock.n.01'), Synset('money.n.03'), Synset('word.n.07'), Synset('note.n.07'), Synset('reference_book.n.01'), Synset('wallpaper.n.01'), Synset('word.n.07'), Synset('brick.n.02'), Synset('money.n.03'), Synset('radiation_pattern.n.01'), Synset('tail.n.05'), Synset('word_picture.n.01'), Synset('word.n.07'), Synset('tilt.n.04'), Synset('reference_book.n.01'), Synset('joke.n.04'), Synset('money.n.03'), Synset('stake.n.04'), Synset('headline.n.01'), Synset('guess.n.01'), Synset('journal.n.05'), Synset('word.n.07'), Synset('strait.n.01'), Synset('poster.n.01'), Synset('hair.n.06'), Synset('statue.n.01'), Synset('technique.n.01'), Synset('distinction.n.04'), Synset('strait.n.01'), Synset('reference_book.n.01'), Synset('lot.n.02'), Synset('word.n.07'), Synset('repellent.n.02'), Synset('money.n.03'), Synset('scribble.n.02'), Synset('joke.n.04'), Synset('shoe.n.02'), Synset('spot.n.10'), Synset('toy.n.03'), Synset('money.n.03'), Synset('top.n.09'), Synset('jab.n.02'), None, Synset('headline.n.01'), Synset('exception.n.02'), Synset('statue.n.01'), Synset('tilt.n.04'), Synset('adaptation.n.03'), Synset('mold.n.07'), Synset('tilt.n.04'), Synset('grammar.n.01'), Synset('grimace.n.01'), Synset('password.n.01'), Synset('money.n.03'), Synset('radiation_pattern.n.01'), None, Synset('terminology.n.01'), Synset('breast.n.04'), Synset('vaulting_horse.n.01'), Synset('tilt.n.04')]"
4,4,{'comment'},['comment'],"[Synset('remark.n.01'), Synset('remark.n.01'), Synset('remark.n.01'), Synset('remark.n.01')]"
5,25,"{'pilgrimage', 'trip', 'visit', 'travel', 'tour', 'stopover'}","['pilgrimage', 'trip', 'visit', 'travel', 'tour', 'stopover']","[Synset('tripper.n.04'), Synset('stopover.n.01'), Synset('tripper.n.04'), Synset('tripper.n.04'), Synset('stopover.n.01'), Synset('tripper.n.04'), Synset('tripper.n.04'), Synset('stopover.n.01'), Synset('tripper.n.04'), Synset('pilgrimage.n.01'), Synset('stopover.n.01'), Synset('tripper.n.04'), Synset('tripper.n.04'), Synset('visit.n.04'), Synset('stopover.n.01'), Synset('tripper.n.04'), Synset('tripper.n.04'), Synset('tripper.n.04'), Synset('tripper.n.04'), Synset('tour.n.01'), Synset('tripper.n.04'), Synset('tripper.n.04'), Synset('change_of_location.n.01'), Synset('stopover.n.01'), Synset('visit.n.04')]"
6,9,{'noise'},['noise'],"[Synset('noise.n.04'), Synset('noise.n.04'), Synset('noise.n.04'), Synset('noise.n.04'), Synset('noise.n.04'), Synset('noise.n.04'), Synset('noise.n.04'), Synset('noise.n.04'), Synset('noise.n.04')]"
7,30,"{'vodka', 'soup', 'bowl', 'food', 'candy', 'cactus', 'wine', 'potato', 'bottle'}","['sandwich', 'food', 'chicken', 'cake', 'lunch', 'cupcake', 'cheeseburger', 'packet', 'bowl', 'candy', 'dish', 'cocktail', 'omelette', 'pesto', 'pizza', 'vodka', 'soup', 'dinner', 'cactus', 'pie', 'cup', 'wine', 'potato', 'bottle', 'cream']","[Synset('candy.n.01'), Synset('bottle.n.03'), Synset('cactus.n.01'), Synset('bottle.n.03'), Synset('packet.n.03'), Synset('wine.n.02'), Synset('lunch.n.01'), Synset('cocktail.n.02'), Synset('potato.n.02'), Synset('food.n.02'), Synset('smasher.n.02'), Synset('vodka.n.01'), Synset('cupcake.n.01'), Synset('omelet.n.01'), Synset('cheeseburger.n.01'), Synset('vodka.n.01'), Synset('sandwich.n.01'), Synset('pizza.n.01'), Synset('vodka.n.01'), Synset('soup.n.02'), Synset('pesto.n.01'), Synset('proto-indo_european.n.01'), Synset('dinner.n.02'), Synset('cup.n.08'), Synset('stadium.n.01'), Synset('cream.n.03'), Synset('cake.n.03'), Synset('cupcake.n.01'), Synset('wimp.n.01'), Synset('smasher.n.02')]"
8,21,"{'proposal', 'decision', 'conclusion', 'request', 'amendment', 'objection', 'recommendation', 'appointment', 'submission'}","['proposal', 'decision', 'conclusion', 'request', 'amendment', 'objection', 'recommendation', 'appointment', 'submission']","[Synset('date.n.03'), Synset('amendment.n.02'), Synset('submission.n.07'), Synset('date.n.03'), Synset('decision.n.04'), Synset('decision.n.04'), Synset('decision.n.04'), Synset('protest.n.02'), Synset('date.n.03'), Synset('request.n.01'), Synset('decision.n.04'), Synset('decision.n.04'), Synset('decision.n.04'), Synset('decision.n.04'), Synset('recommendation.n.03'), Synset('request.n.01'), Synset('decision.n.02'), Synset('proposal.n.03'), Synset('date.n.03'), Synset('recommendation.n.03'), Synset('date.n.03')]"
9,11,"{'error', 'blunder', 'mistake'}","['error', 'blunder', 'mistake']","[Synset('mistake.n.01'), Synset('mistake.n.01'), Synset('mistake.n.01'), Synset('mistake.n.01'), Synset('mistake.n.01'), Synset('mistake.n.01'), Synset('mistake.n.01'), Synset('blunder.n.01'), Synset('mistake.n.01'), Synset('mistake.n.01'), Synset('mistake.n.01')]"
10,33,"{'offer', 'negotiation', 'effort', 'plan', 'attempt', 'deal', 'determination'}","['offer', 'coup', 'overture', 'negotiation', 'haste', 'warranty', 'package', 'strike', 'claim', 'effort', 'provocation', 'attempt', 'plan', 'deal', 'determination', 'arrangement', 'commitment']","[Synset('hand.n.06'), Synset('coup_d'etat.n.01'), Synset('hurry.n.01'), Synset('offer.n.02'), Synset('feat.n.01'), Synset('hand.n.06'), Synset('coup_d'etat.n.01'), Synset('offer.n.02'), Synset('claim.n.01'), Synset('feat.n.01'), Synset('feat.n.01'), Synset('attempt.n.01'), Synset('attempt.n.01'), Synset('incitement.n.03'), Synset('plan.n.03'), Synset('attempt.n.01'), Synset('coup_d'etat.n.01'), Synset('preliminary.n.02'), Synset('negotiation.n.01'), Synset('guarantee.n.01'), Synset('commitment.n.05'), Synset('software.n.01'), Synset('musical_arrangement.n.01'), Synset('feat.n.01'), Synset('decision.n.02'), Synset('hand.n.06'), Synset('attempt.n.01'), Synset('feat.n.01'), Synset('claim.n.01'), Synset('feat.n.01'), Synset('hand.n.06'), Synset('strike.n.05'), Synset('guarantee.n.01')]"
11,12,"{'landfall', 'cameo', 'appearance', 'debut'}","['landfall', 'cameo', 'appearance', 'debut']","[Synset('debut.n.02'), Synset('debut.n.02'), Synset('debut.n.02'), Synset('cameo.n.01'), Synset('landfall.n.02'), Synset('appearance.n.06'), Synset('appearance.n.06'), Synset('debut.n.02'), Synset('appearance.n.06'), Synset('debut.n.02'), Synset('landfall.n.02'), Synset('appearance.n.06')]"
12,13,"{'speech', 'announcement', 'statement'}","['speech', 'announcement', 'statement']","[Synset('announcement.n.02'), Synset('announcement.n.02'), Synset('statement.n.07'), Synset('statement.n.07'), Synset('statement.n.07'), Synset('statement.n.07'), Synset('lecture.n.02'), Synset('statement.n.07'), Synset('statement.n.07'), Synset('statement.n.07'), Synset('lecture.n.02'), Synset('announcement.n.02'), Synset('statement.n.07')]"
13,11,{'sense'},['sense'],"[Synset('sense.n.05'), Synset('sense.n.05'), Synset('sense.n.05'), Synset('sense.n.05'), Synset('sense.n.05'), Synset('sense.n.05'), Synset('sense.n.05'), Synset('sense.n.05'), Synset('sense.n.05'), Synset('sense.n.05'), Synset('sense.n.05')]"
14,20,"{'impact', 'donation', 'improvement', 'difference', 'contribution', 'progress'}","['impact', 'donation', 'improvement', 'difference', 'contribution', 'progress']","[Synset('dispute.n.01'), Synset('improvement.n.03'), Synset('impact.n.02'), Synset('dispute.n.01'), Synset('contribution.n.05'), Synset('progress.n.03'), Synset('contribution.n.05'), Synset('contribution.n.03'), Synset('progress.n.03'), Synset('dispute.n.01'), Synset('progress.n.03'), Synset('contribution.n.05'), Synset('contribution.n.03'), Synset('contribution.n.05'), Synset('progress.n.03'), Synset('progress.n.03'), Synset('contribution.n.05'), Synset('dispute.n.01'), Synset('dispute.n.01'), Synset('dispute.n.01')]"
